Post ID,Fanspage ID,Political,Post time,Reaction,Image_file name
606321216096498_4016607555067830,606321216096498,Pan blue,1620269909,1888,"['606321216096498_4016607555067830_1.jpg', '606321216096498_4016607555067830_2.jpg']"
100243575124856_266223805193498,100243575124856,Pan blue,1620271251,123,"['100243575124856_266223805193498_1.jpg', '100243575124856_266223805193498_2.jpg']"
354577201716619_1121124465061885,354577201716619,Pan blue,1620277875,2318,['354577201716619_1121124465061885_1.jpg']
408739569137284_4325718657439336,408739569137284,Pan blue,1620394836,8,['408739569137284_4325718657439336_1.jpg']
2218824868345331_3106295579598251,2218824868345331,Pan green,1620358167,582,['2218824868345331_3106295579598251_1.jpg']
681818895240183_3987257304696309,681818895240183,Pan green,1620339235,40,"['681818895240183_3987257304696309_1.jpg', '681818895240183_3987257304696309_2.jpg']"
186612874691719_4293922223960743,186612874691719,Pan blue,1620372555,1120,['186612874691719_4293922223960743_1.jpg']
164872546882726_3853832204653390,164872546882726,Pan blue,1620359965,28365,"['164872546882726_3853832204653390_1.jpg', '164872546882726_3853832204653390_2.jpg']"
1608911669348612_2939751132931319,1608911669348612,Pan green,1620388801,8,['1608911669348612_2939751132931319_1.jpg']
298586310319842_1805272206317904,298586310319842,Pan blue,1620386244,41,"['298586310319842_1805272206317904_1.jpg', '298586310319842_1805272206317904_2.jpg', '298586310319842_1805272206317904_3.jpg', '298586310319842_1805272206317904_4.jpg']"
347187239195650_884747242106311,347187239195650,Pan green,1620373397,919,['347187239195650_884747242106311_1.jpg']
